"id","codbarras","nome","preco_venda"
57358,"7898918339298",PALITO DENTE BILLA MENTOLADO C/250,"8,95"
57360,"7896579992272",AMEIXA SECA S/CAROCO UNIAGRO 500GR,"0"
57361,"7899044423431",CORTADOR INOX OVAL 2343,"0"
57362,"7899044423448",CORTADOR INOX OVAL 2344,"0"
57363,"7891149210503",CERVEJA CARACU LATA 350ML,"2,98"
57364,"7500435129992",AMACIANTE DOWNY PASSION LP 1.5LT,"27,95"
57365,"7500435127226",ABS.ALWAYS SUPER PRO.SECA C/ABA 8UN,"4,49"
57366,"7506295338901",ABS.ALWAYS DIARIO PERF.C/40,"10,95"
57367,"7500435127264",ABS.ALWAYS C/8 SUP.PROT.S/ABAS SECA,"4,49"
57368,"7500435127240",ABS.ALWAYS C/8 SUP.PROT.C/ABAS SUAV,"3,99"
57369,"7500435125451",COND.PANTENE RESTAURACAO. 175ML,"12,95"
57370,"7896540906598",LIMPADOR G.LIMPA CITRONELA 1LT,"5,79"
57371,"7899687431718",TAPETE BANHEIRO BOX TOK DECOR,"9,9"
57372,"7899687436454",BATEDOR MANUAL MEI JI JIA SILICONE,"15,9"
57373,"7899687433644",BANDEJA REAL PASCOA OVAL RN3364,"7,5"
57374,"7899687431015",FORMA TOK SILICONE CUPCAKE RN3101,"24,9"
57375,"7899687438243",TIARA OSTERBAUM ORELHA COELHO 3824,"6,9"
57376,"7898589339962","FITA DUPLA FACE REAL 3X3,6 996","7,9"
57377,"7898589318035",BOMBA GALAO AGUA TOK 1803,"16,9"
57378,"7899687432968",BALDE METAL REAL PASCOA 10CM 3296,"9,9"
57379,"7899687432906",OVO REAL METAL PASCOA DEC.3290,"9,9"
57380,"7898589316567",COELHO PALHA OSTERBAUM GRAVATA 1656,"39,9"
57381,"7898394251626",OVOS CASQUINHA PLAST.BCO C/4 002,"2,9"
57382,"7898589338606",PROTETOR ALIMENTOS TEC 30CM 860,"7,9"
57383,"7899687437352",BLOCO MARCADOR PAGINA 5 C/25 REAL,"6,9"
57385,"7899687438854",FORMA TOK DOCES PLAST.C/5 RN3885,"6,9"
57386,"7899687431558",MOEDOR DE PIMENTA REAL MAD.16CM,"26,9"
57387,"7891242211551",UAU MULTI-USO CLORO 4EM1 500ML,"8,59"
57388,"7891242720008",LIMP.UAU DESENG.500ML,"5,49"
57389,"4891138957351",LANTERNA ENERGIZER RUBBER LED,"45"
57390,"7897079034981",LAMPADA TASCHIBRA ECON.59W 6400K.,"35,9"
57391,"7896403200801",PRATO VASO NUTRIPLAST 0 MARROM 1UN,"1,45"
57392,"7896403200597",PRATO VASO NUTRIPLAN PRETO 8,"12"
57393,"7898521060404",FLOREIRA GOYAMA QUADRADO PTO N2,"15,9"
57394,"7898521060411",FLOREIRA GOYAMA QUADRADO TER.N2,"15,9"
57395,"7898521060435",FLOREIRA GOYAMA QUADRADO PTO N3,"22,9"
57396,"7898521060442",FLOREIRA GOYAMA QUADRADO TER.N3,"22,9"
57397,"7898502713770",JARDINEIRA ERCPLAST TERRA 1377,"7,4"
57398,"7898502713763",JARDINEIRA ERCPLAST TERRA 1376,"6,5"
57399,"7898506655854",PRATO JARDINEIRA OREAN PTO N2,"6,9"
57400,"7898506655878",PRATO JARDINEIRA OREAN TER.N2,"8,9"
57401,"6939020440739",LANTERNA DP CABECA 9LED 781,"29,9"
57402,"7893357680123",LANTERNA/LAMPIAO LUATEK,"39,9"
57403,"7898906902060",RATICIDA CITROMAX 25G,"0,79"
57406,"7896072093506",FLAN BRETZKE BAUNILHA 40GR,"2,88"
57407,"7896283006715",GRANOLA JASMINE DIET AMENDOIM 250GR,"13,95"
